#time [s]	Power [mW]
0.000000e+00	9.909319e+00
3.906250e-13	9.950664e+00
7.812500e-13	1.019154e+01
1.171875e-12	9.589124e+00
1.562500e-12	9.794946e+00
1.953125e-12	1.041822e+01
2.343750e-12	1.009917e+01
2.734375e-12	1.016701e+01
3.125000e-12	1.006962e+01
3.515625e-12	1.027042e+01
3.906250e-12	1.000212e+01
4.296875e-12	1.016131e+01
4.687500e-12	1.006610e+01
5.078125e-12	1.023404e+01
5.468750e-12	9.988021e+00
5.859375e-12	9.710675e+00
6.250000e-12	9.982850e+00
6.640625e-12	9.613489e+00
7.031250e-12	1.045766e+01
7.421875e-12	1.018392e+01
7.812500e-12	9.683442e+00
8.203125e-12	1.031611e+01
8.593750e-12	9.757605e+00
8.984375e-12	1.000043e+01
9.375000e-12	1.005090e+01
9.765625e-12	1.014949e+01
1.015625e-11	1.020464e+01
1.054688e-11	1.011727e+01
1.093750e-11	1.014427e+01
1.132813e-11	9.893997e+00
1.171875e-11	1.003563e+01
1.210938e-11	9.981043e+00
1.250000e-11	1.037752e+01
1.289063e-11	9.858126e+00
1.328125e-11	1.038660e+01
1.367188e-11	9.780132e+00
1.406250e-11	9.752197e+00
1.445313e-11	1.010887e+01
1.484375e-11	1.051624e+01
1.523437e-11	9.839558e+00
1.562500e-11	9.968223e+00
1.601562e-11	1.016391e+01
1.640625e-11	1.004891e+01
1.679687e-11	1.017318e+01
1.718750e-11	1.009170e+01
1.757812e-11	9.653740e+00
1.796875e-11	9.756753e+00
1.835937e-11	1.003241e+01
1.875000e-11	1.034322e+01
1.914062e-11	1.002937e+01
1.953125e-11	1.011890e+01
1.992187e-11	9.782215e+00
2.031250e-11	9.939388e+00
2.070312e-11	1.007154e+01
2.109375e-11	9.890507e+00
2.148438e-11	1.010978e+01
2.187500e-11	9.880184e+00
2.226563e-11	9.929006e+00
2.265625e-11	1.012114e+01
2.304688e-11	9.974935e+00
2.343750e-11	9.701672e+00
2.382813e-11	9.906033e+00
2.421875e-11	1.012417e+01
2.460938e-11	9.718569e+00
2.500000e-11	9.930075e+00
2.539063e-11	9.725839e+00
2.578125e-11	1.006600e+01
2.617188e-11	1.009750e+01
