#OSNR	BER
45	2.449710e+01
44	2.449832e+01
43	2.449979e+01
42	2.449525e+01
41	2.450325e+01
40	2.450592e+01
39	2.451185e+01
38	2.452662e+01
37	2.453387e+01
36	2.455711e+01
35	2.458656e+01
34	2.461976e+01
33	2.465496e+01
32	2.469892e+01
31	2.474159e+01
30	2.479673e+01
29	2.484235e+01
28	2.487640e+01
27	2.483448e+01
26	2.472724e+01
25	2.451799e+01
24	2.417855e+01
23	2.372797e+01
22	2.313156e+01
21	2.240255e+01
20	2.153249e+01
19	2.053457e+01
18	1.941942e+01
17	1.825081e+01
16	1.706506e+01
15	1.588907e+01
14	1.472568e+01
13	1.356905e+01
12	1.240459e+01
11	1.126833e+01
10	1.018630e+01
9	9.159498e+00
8	8.207602e+00
7	7.299441e+00
6	6.433189e+00
5	5.615104e+00
4	4.831436e+00
3	4.051980e+00
2	3.565817e+00
1	3.088408e+00
0	2.641567e+00
-1	2.241095e+00
-2	1.877360e+00
-3	1.562859e+00
-4	1.282113e+00
-5	1.037104e+00
