#OSNR	BER
45	4.124468e+01
44	4.046516e+01
43	3.872489e+01
42	3.760685e+01
41	3.609989e+01
40	3.433440e+01
39	3.261226e+01
38	3.074513e+01
37	2.831586e+01
36	2.662091e+01
35	2.443667e+01
34	2.239668e+01
33	2.065611e+01
32	1.887707e+01
31	1.703224e+01
30	1.569449e+01
29	1.402494e+01
28	1.259014e+01
27	1.137414e+01
26	1.011388e+01
25	9.126326e+00
24	8.145012e+00
23	7.318594e+00
22	6.563519e+00
21	5.842456e+00
20	5.162087e+00
19	4.622156e+00
18	4.183060e+00
17	3.675028e+00
16	3.270578e+00
15	2.917377e+00
14	2.564879e+00
13	2.302256e+00
12	2.056824e+00
11	1.811880e+00
10	1.610194e+00
9	1.423272e+00
8	1.265437e+00
7	1.120729e+00
6	9.723367e-01
5	8.483855e-01
4	7.405810e-01
3	6.437011e-01
2	5.647503e-01
1	4.874465e-01
0	4.045829e-01
-1	3.629036e-01
-2	3.192593e-01
