#OSNR	BER
45	1.633862e+01
44	1.634015e+01
43	1.634191e+01
42	1.634483e+01
41	1.634670e+01
40	1.634726e+01
39	1.635123e+01
38	1.635281e+01
37	1.635800e+01
36	1.636468e+01
35	1.636766e+01
34	1.637625e+01
33	1.638924e+01
32	1.640259e+01
31	1.642337e+01
30	1.645424e+01
29	1.649966e+01
28	1.656343e+01
27	1.666203e+01
26	1.676965e+01
25	1.683718e+01
24	1.683186e+01
23	1.681684e+01
22	1.685136e+01
21	1.692959e+01
20	1.708102e+01
19	1.727141e+01
18	1.730145e+01
17	1.707343e+01
16	1.672057e+01
15	1.623154e+01
14	1.535648e+01
13	1.433166e+01
12	1.332940e+01
11	1.233862e+01
10	1.134917e+01
9	1.036847e+01
8	9.301561e+00
7	8.169855e+00
6	7.093709e+00
5	6.167771e+00
4	5.315557e+00
3	4.582489e+00
2	4.018771e+00
1	3.597083e+00
0	2.901994e+00
-1	2.337746e+00
-2	1.901409e+00
-3	1.560610e+00
-4	1.289371e+00
-5	1.127410e+00
