#OSNR	BER
45	6.167703e+00
44	6.167817e+00
43	6.167866e+00
42	6.168039e+00
41	6.167979e+00
40	6.168126e+00
39	6.168567e+00
38	6.168819e+00
37	6.169355e+00
36	6.170243e+00
35	6.171093e+00
34	6.172704e+00
33	6.174493e+00
32	6.176839e+00
31	6.180257e+00
30	6.184957e+00
29	6.190479e+00
28	6.198240e+00
27	6.208168e+00
26	6.221308e+00
25	6.238060e+00
24	6.259593e+00
23	6.287611e+00
22	6.321539e+00
21	6.360600e+00
20	6.398327e+00
19	6.430456e+00
18	6.459667e+00
17	6.496395e+00
16	6.546138e+00
15	6.608493e+00
14	6.682505e+00
13	6.770385e+00
12	6.841126e+00
11	6.483478e+00
10	6.129408e+00
9	5.790340e+00
8	5.436554e+00
7	5.058389e+00
6	4.617631e+00
5	4.084642e+00
4	3.490437e+00
3	2.913037e+00
2	2.387116e+00
1	1.947630e+00
0	1.610087e+00
-1	1.359574e+00
-2	1.143604e+00
-3	9.331400e-01
-4	7.567404e-01
-5	6.283774e-01
