#IFR	BER
0	6.330583e-04
2	6.515082e-04
4	7.198158e-04
6	6.548676e-04
8	6.437230e-04
10	6.471890e-04
12	6.290057e-04
14	6.531080e-04
16	6.786500e-04
18	6.463892e-04
20	6.651591e-04
22	6.541744e-04
24	6.368442e-04
26	6.925675e-04
28	6.700649e-04
30	6.718246e-04
32	6.473490e-04
34	6.558275e-04
36	6.488954e-04
38	6.492687e-04
40	6.391905e-04
42	6.589202e-04
44	6.565740e-04
46	6.281525e-04
48	6.264995e-04
50	6.386573e-04
52	6.950737e-04
54	6.670254e-04
56	6.399370e-04
58	6.572139e-04
60	6.689984e-04
62	6.522015e-04
64	6.686785e-04
66	6.859553e-04
68	6.547077e-04
70	8.930723e-02
72	2.876612e-01
74	2.876735e-01
76	2.872142e-01
78	2.878069e-01
80	2.882869e-01
82	2.882364e-01
84	2.865977e-01
86	2.861731e-01
88	2.883998e-01
90	2.877239e-01
92	2.877522e-01
94	2.871187e-01
96	2.882992e-01
98	2.871760e-01
100	2.877529e-01
