#IFR	Q
0.000001	1.168819e+00
0.000002	1.134628e+00
0.000003	1.171797e+00
0.000004	1.334508e+00
0.000005	1.670342e+00
0.000006	2.214722e+00
0.000007	3.103933e+00
0.000008	4.091139e+00
0.000009	4.904744e+00
0.000010	5.318282e+00
0.000011	5.476043e+00
0.000012	5.528718e+00
0.000013	5.518277e+00
0.000014	5.518277e+00
0.000015	5.501871e+00
0.000016	5.547916e+00
0.000017	5.547916e+00
0.000018	5.500561e+00
0.000019	5.534760e+00
0.000020	5.534760e+00
0.000021	5.542516e+00
0.000022	5.542516e+00
0.000023	5.543489e+00
0.000024	5.539758e+00
0.000025	5.539758e+00
0.000026	5.530839e+00
0.000027	5.523736e+00
0.000028	5.435871e+00
0.000029	5.289220e+00
0.000030	5.037292e+00
0.000031	4.619732e+00
0.000032	3.919954e+00
0.000033	3.509072e+00
0.000034	3.136306e+00
0.000035	2.794504e+00
0.000036	2.501734e+00
0.000037	2.231054e+00
0.000038	2.085258e+00
0.000039	1.891764e+00
0.000040	1.754287e+00
0.000041	1.633076e+00
0.000042	1.555259e+00
0.000043	1.492426e+00
0.000044	1.452378e+00
0.000045	1.440614e+00
0.000046	1.418736e+00
0.000047	1.416970e+00
0.000048	1.386727e+00
0.000049	1.424408e+00
0.000050	1.457109e+00
0.000051	1.498451e+00
0.000052	1.532752e+00
0.000053	1.587246e+00
0.000054	1.594751e+00
0.000055	1.639877e+00
0.000056	1.733870e+00
0.000057	1.815006e+00
0.000058	1.839074e+00
0.000059	nan
0.000060	nan
