#IFR	Q
0.0000047	1.524845e+00
0.0000052	1.724766e+00
0.0000057	2.045375e+00
0.0000062	2.314610e+00
0.0000067	2.701512e+00
0.0000072	3.318498e+00
0.0000077	3.744687e+00
0.0000082	4.133023e+00
0.0000087	4.463901e+00
0.0000092	4.816514e+00
0.0000097	5.253376e+00
0.0000102	5.329671e+00
0.0000107	5.435946e+00
0.0000112	5.469540e+00
0.0000117	5.512478e+00
0.0000122	5.538016e+00
0.0000127	5.464832e+00
0.0000132	5.464832e+00
0.0000137	5.531415e+00
0.0000142	5.496695e+00
0.0000147	5.496695e+00
0.0000152	5.480338e+00
0.0000157	5.481438e+00
0.0000162	5.481438e+00
0.0000167	5.495843e+00
0.0000172	5.483514e+00
0.0000177	5.483514e+00
0.0000182	5.548288e+00
0.0000187	5.548288e+00
0.0000192	5.490863e+00
0.0000197	5.577492e+00
0.0000202	5.577492e+00
0.0000207	5.522126e+00
0.0000212	5.539473e+00
0.0000217	5.539473e+00
0.0000222	5.501947e+00
0.0000227	5.501947e+00
0.0000232	5.481049e+00
0.0000237	5.482860e+00
0.0000242	5.482860e+00
0.0000247	5.555351e+00
0.0000252	5.534375e+00
0.0000257	5.534375e+00
0.0000262	5.485269e+00
0.0000267	5.609700e+00
0.0000272	5.609700e+00
0.0000277	5.370834e+00
0.0000282	5.285378e+00
0.0000287	5.260779e+00
0.0000292	5.126574e+00
0.0000297	4.921051e+00
0.0000302	4.665685e+00
0.0000307	4.594992e+00
0.0000312	4.386990e+00
0.0000317	4.154302e+00
0.0000322	3.900210e+00
0.0000327	3.680447e+00
0.0000332	3.485569e+00
0.0000337	3.315241e+00
0.0000342	3.141755e+00
0.0000347	2.968632e+00
0.0000352	2.805594e+00
0.0000357	2.618925e+00
0.0000362	2.366584e+00
0.0000367	2.251808e+00
0.0000372	2.161923e+00
0.0000377	2.072311e+00
0.0000382	1.972521e+00
0.0000387	1.927511e+00
0.0000392	1.850455e+00
0.0000397	1.720147e+00
