#IFR	Q
10	6.659491e+00
12	6.432852e+00
14	6.258265e+00
16	6.104833e+00
18	6.106651e+00
20	5.880876e+00
22	5.775932e+00
24	5.619816e+00
26	5.390928e+00
28	5.249970e+00
30	5.175316e+00
32	4.991748e+00
34	4.889503e+00
36	4.664076e+00
38	4.622743e+00
40	4.305455e+00
42	4.161940e+00
44	4.129348e+00
46	3.932146e+00
48	3.835990e+00
50	3.672951e+00
52	3.523861e+00
54	3.343781e+00
56	3.250172e+00
58	3.121954e+00
60	2.911945e+00
62	2.770746e+00
64	2.613868e+00
66	2.486710e+00
68	2.373317e+00
70	2.212798e+00
72	2.049361e+00
74	1.916803e+00
76	1.742482e+00
78	1.585496e+00
80	1.467037e+00
82	1.350855e+00
84	1.151190e+00
86	1.010172e+00
88	8.748076e-01
90	7.300594e-01
