#IFR	Q
10	3.588198e+06
12	4.305846e+06
14	5.023495e+06
16	5.741143e+06
18	6.458793e+06
20	7.176440e+06
22	7.894084e+06
24	8.611734e+06
26	9.329384e+06
28	1.004703e+07
30	1.076468e+07
32	1.148232e+07
34	1.219998e+07
36	1.291762e+07
38	1.363527e+07
40	1.435292e+07
42	1.507057e+07
44	1.578822e+07
46	1.650586e+07
48	1.722351e+07
50	1.794116e+07
52	1.865880e+07
54	1.937645e+07
56	2.009410e+07
58	2.081175e+07
60	2.152940e+07
62	2.224705e+07
64	2.296469e+07
66	2.368234e+07
68	2.439999e+07
70	2.511763e+07
72	2.583529e+07
74	2.655293e+07
76	2.727058e+07
78	2.798823e+07
80	2.870588e+07
82	2.942352e+07
84	3.014117e+07
86	3.085882e+07
88	3.157647e+07
90	3.229411e+07
