#IFR	BER
10	1.371612e-02
12	6.518922e-03
14	2.921709e-03
16	1.259007e-03
18	5.207231e-04
20	2.081044e-04
22	8.339817e-05
24	2.907916e-05
26	1.016704e-05
28	3.128320e-06
30	1.279767e-06
32	4.265891e-07
34	7.109819e-08
36	0.000000e+00
38	7.109819e-08
40	7.109819e-08
42	2.132946e-07
44	4.976873e-07
46	1.279767e-06
48	3.483811e-06
50	8.389586e-06
52	2.097397e-05
54	4.521845e-05
56	9.057909e-05
58	1.791674e-04
60	3.381430e-04
62	6.014196e-04
64	1.042513e-03
66	1.762595e-03
68	2.868954e-03
70	4.568698e-03
72	7.042844e-03
74	1.053398e-02
76	1.536119e-02
78	2.177432e-02
80	3.009217e-02
82	4.057104e-02
84	5.348681e-02
86	6.899553e-02
88	8.709471e-02
90	1.077415e-01
